date,campaign_name,impressions,clicks,ad_spend,website_visits,add_to_cart,purchases,revenue
2025-01-01,GoogleAds_H1_2025,47781,7548.0,91455,6044,598,550,653400
2025-01-02,GoogleAds_H1_2025,45469,2700.0,54296,6754,2500,675,1470825
2025-01-03,GoogleAds_H1_2025,66202,8128.0,87001,2728,2955,1773,2269440
2025-01-04,GoogleAds_H1_2025,53661,3682.0,35442,3206,3058,289,562105
2025-01-05,GoogleAds_H1_2025,28217,4251.0,93281,5515,1049,1150,2074600
2025-01-06,GoogleAds_H1_2025,48040,7224.0,132198,3503,2193,1086,1377048
2025-01-07,GoogleAds_H1_2025,76488,8139.0,66860,5627,3385,677,924105
2025-01-08,GoogleAds_H1_2025,30294,2986.0,122945,2302,1560,562,418690
2025-01-09,GoogleAds_H1_2025,83256,2721.0,41728,3070,1722,1690,1901250
2025-01-10,GoogleAds_H1_2025,61039,2182.0,140392,1956,2450,1115,801685
2025-01-11,GoogleAds_H1_2025,57542,5189.0,36011,5252,2066,606,469044
2025-01-12,GoogleAds_H1_2025,33274,3711.0,131728,6355,3252,1529,1079474
2025-01-13,GoogleAds_H1_2025,71931,3458.0,80941,7155,1951,1315,1044110
2025-01-14,GoogleAds_H1_2025,74968,3278.0,108152,7186,2380,443,466922
2025-01-15,GoogleAds_H1_2025,80733,7923.0,59234,7891,3141,1342,1646634
2025-01-16,GoogleAds_H1_2025,77935,1580.0,95934,2852,2811,1610,3342360
2025-01-17,GoogleAds_H1_2025,20119,5577.0,114238,6223,1738,1625,2687750
2025-01-18,GoogleAds_H1_2025,47733,3000.0,68239,6131,1958,1656,2500560
2025-01-19,GoogleAds_H1_2025,88803,8021.0,115130,3684,2800,945,1637685
2025-01-20,GoogleAds_H1_2025,34165,5561.0,63899,4949,680,1124,1833244
2025-01-21,GoogleAds_H1_2025,28560,8259.0,135040,5921,2158,1537,3078611
2025-01-22,GoogleAds_H1_2025,45478,5073.0,91800,3249,888,1380,1585620
2025-01-23,GoogleAds_H1_2025,26260,4625.0,108171,6663,2355,931,796936
2025-01-24,GoogleAds_H1_2025,80368,2747.0,52861,6589,1576,1578,3212808
2025-01-25,GoogleAds_H1_2025,62742,8439.0,132429,5128,2080,1450,1596450
2025-01-26,GoogleAds_H1_2025,81081,6357.0,77274,6173,2085,1246,1365616
2025-01-27,GoogleAds_H1_2025,46579,5183.0,63311,2412,1702,384,446976
2025-01-28,GoogleAds_H1_2025,72055,7715.0,96148,1752,2114,486,546750
2025-01-29,GoogleAds_H1_2025,30420,4549.0,126177,4113,3049,1015,843465
2025-01-30,GoogleAds_H1_2025,52358,3181.0,51790,1932,682,497,930881
2025-01-31,GoogleAds_H1_2025,48497,1925.0,130002,2057,3198,246,285606
2025-02-01,GoogleAds_H1_2025,55284,8955.0,103196,1246,1433,874,1022580
2025-02-02,GoogleAds_H1_2025,24647,2776.0,56551,3633,1054,1364,1623160
2025-02-03,GoogleAds_H1_2025,68437,5128.0,99881,4993,1686,639,953388
2025-02-04,GoogleAds_H1_2025,24106,6437.0,92172,2537,3399,1500,2998500
2025-02-05,GoogleAds_H1_2025,29267,4632.0,64712,3533,1684,1761,2759487
2025-02-06,GoogleAds_H1_2025,37673,1718.0,47317,3050,420,1670,2134260
2025-02-07,GoogleAds_H1_2025,73742,8097.0,128542,6620,1646,1951,1997824
2025-02-08,GoogleAds_H1_2025,38114,2228.0,126426,7785,2710,1679,3243828
2025-02-09,GoogleAds_H1_2025,40635,1908.0,52382,7812,2239,1994,2209352
2025-02-10,GoogleAds_H1_2025,72415,2661.0,33765,2799,712,413,681037
2025-02-11,GoogleAds_H1_2025,89993,8992.0,90019,4321,1988,290,446600
2025-02-12,GoogleAds_H1_2025,68052,8148.0,74879,7890,2489,1016,808736
2025-02-13,GoogleAds_H1_2025,51904,8425.0,114682,2704,3067,1963,3274284
2025-02-14,GoogleAds_H1_2025,44966,3876.0,113466,2784,3087,209,430122
2025-02-15,GoogleAds_H1_2025,23272,4786.0,84778,5735,453,485,347745
2025-02-16,GoogleAds_H1_2025,45854,6521.0,66128,5446,671,429,646074
2025-02-17,GoogleAds_H1_2025,78404,5521.0,93552,6230,2438,1321,1171727
2025-02-18,GoogleAds_H1_2025,74752,7946.0,77040,2883,2959,1187,1287895
2025-02-19,GoogleAds_H1_2025,54860,6367.0,44866,4118,948,903,1154937
2025-02-20,GoogleAds_H1_2025,0,3643.0,106900,6280,912,652,1141000
2025-02-21,GoogleAds_H1_2025,87868,2054.0,52960,3463,786,341,698027
2025-02-22,GoogleAds_H1_2025,23170,4912.0,42914,4991,2591,515,555170
2025-02-23,GoogleAds_H1_2025,78569,6255.0,60187,6922,544,978,1237170
2025-02-24,GoogleAds_H1_2025,22141,3036.0,101259,7127,3353,278,320256
2025-02-25,GoogleAds_H1_2025,20625,1704.0,55186,6658,2488,428,484924
2025-02-26,GoogleAds_H1_2025,76304,8590.0,145554,3954,720,1242,2259198
2025-02-27,GoogleAds_H1_2025,74869,2266.0,116939,2994,1754,1946,2444176
2025-02-28,GoogleAds_H1_2025,45197,3210.0,65150,7789,3248,976,2069120
2025-03-01,GoogleAds_H1_2025,86068,6588.0,-20000,3517,1050,1262,1958624
2025-03-02,GoogleAds_H1_2025,42059,2857.0,41968,2406,2746,1815,3136320
2025-03-03,GoogleAds_H1_2025,87206,8211.0,99810,3049,1852,656,524800
2025-03-04,GoogleAds_H1_2025,89479,5329.0,115546,2907,1379,1052,1906224
2025-03-05,GoogleAds_H1_2025,58340,7046.0,75938,3508,1551,1532,2336300
2025-03-06,GoogleAds_H1_2025,63924,2364.0,39651,1810,1632,1481,1309204
2025-03-07,GoogleAds_H1_2025,44432,8190.0,58587,4210,707,391,752675
2025-03-08,GoogleAds_H1_2025,88533,5414.0,120110,6383,736,1773,2989278
2025-03-09,GoogleAds_H1_2025,56599,2461.0,77744,3666,1972,1102,1622144
2025-03-10,GoogleAds_H1_2025,74636,1501.0,90102,2615,910,1253,2202774
2025-03-11,GoogleAds_H1_2025,65498,8030.0,106747,6803,1432,912,1330608
2025-03-12,GoogleAds_H1_2025,65285,5506.0,86251,7828,1295,1656,2255472
2025-03-13,GoogleAds_H1_2025,66621,2051.0,130400,7846,2230,1759,2079138
2025-03-14,GoogleAds_H1_2025,28167,5578.0,83181,4552,3330,226,433468
