date,campaign_name,impressions,clicks,ad_spend,website_visits,add_to_cart,purchases,revenue
2023-01-01,Instagram_H1_2023,21664,3469.0,39373,3081,229,412,413648
2023-01-02,Instagram_H1_2023,29250,3863.0,63276,548,1419,60,48660
2023-01-03,Instagram_H1_2023,16819,1636.0,34762,3254,843,276,168084
2023-01-04,Instagram_H1_2023,38769,4650.0,33150,3111,857,455,167440
2023-01-05,Instagram_H1_2023,33863,2285.0,77298,3715,1057,556,369184
2023-01-06,Instagram_H1_2023,48890,981.0,57304,553,172,762,453390
2023-01-07,Instagram_H1_2023,47904,1740.0,10060,1338,141,74,25012
2023-01-08,Instagram_H1_2023,34354,4726.0,38145,1652,207,221,162214
2023-01-09,Instagram_H1_2023,29933,4697.0,33051,2722,1167,66,41514
2023-01-10,Instagram_H1_2023,46408,4394.0,67134,411,1441,641,330115
2023-01-11,Instagram_H1_2023,10338,4562.0,61860,3552,473,759,378741
2023-01-12,Instagram_H1_2023,25896,4226.0,37935,1177,1139,760,532000
2023-01-13,Instagram_H1_2023,22182,3657.0,54813,734,728,568,247648
2023-01-14,Instagram_H1_2023,21122,2021.0,51786,1126,693,272,182512
2023-01-15,Instagram_H1_2023,35510,3542.0,47265,1866,714,322,265650
2023-01-16,Instagram_H1_2023,19374,3723.0,45435,2635,1221,180,198720
2023-01-17,Instagram_H1_2023,39866,3483.0,30662,3430,463,88,72688
2023-01-18,Instagram_H1_2023,38535,4087.0,64620,3429,1020,446,455366
2023-01-19,Instagram_H1_2023,38687,992.0,62393,945,513,300,317400
2023-01-20,Instagram_H1_2023,0,3712.0,58543,2031,1162,78,60528
2023-01-21,Instagram_H1_2023,18436,771.0,68606,2824,365,408,260712
2023-01-22,Instagram_H1_2023,22676,3124.0,42733,2450,1265,425,411825
2023-01-23,Instagram_H1_2023,44801,645.0,50600,831,804,634,442532
2023-01-24,Instagram_H1_2023,25152,1463.0,53001,2228,160,429,432861
2023-01-25,Instagram_H1_2023,10806,1963.0,66638,1725,1467,60,21660
2023-01-26,Instagram_H1_2023,44636,1384.0,74754,3964,1489,379,153874
2023-01-27,Instagram_H1_2023,27320,3300.0,65554,2311,153,96,98496
2023-01-28,Instagram_H1_2023,21362,2413.0,40448,1996,518,739,849111
2023-01-29,Instagram_H1_2023,36685,502.0,38831,1180,1243,138,86664
2023-01-30,Instagram_H1_2023,47443,2433.0,27674,2040,1051,372,347448
2023-01-31,Instagram_H1_2023,42284,1718.0,35931,569,620,512,173568
2023-02-01,Instagram_H1_2023,25585,1483.0,43742,437,427,300,142500
2023-02-02,Instagram_H1_2023,39125,536.0,19903,3420,895,642,265146
2023-02-03,Instagram_H1_2023,19516,817.0,12396,2562,797,372,322524
2023-02-04,Instagram_H1_2023,21303,4430.0,17314,2783,1291,141,91932
2023-02-05,Instagram_H1_2023,41290,2204.0,43130,3004,1468,742,347998
2023-02-06,Instagram_H1_2023,30670,4238.0,12469,1099,106,182,190372
2023-02-07,Instagram_H1_2023,19017,3308.0,59138,1454,634,475,329175
2023-02-08,Instagram_H1_2023,12719,4008.0,46509,1974,181,405,225585
2023-02-09,Instagram_H1_2023,36588,2047.0,43062,2385,1347,574,198030
2023-02-10,Instagram_H1_2023,19882,1636.0,44832,759,1346,749,559503
2023-02-11,Instagram_H1_2023,41575,1507.0,57517,3926,685,282,147486
2023-02-12,Instagram_H1_2023,23281,4402.0,11435,971,434,271,91056
2023-02-13,Instagram_H1_2023,15084,777.0,23507,3363,583,291,181293
2023-02-14,Instagram_H1_2023,24859,1417.0,73888,1285,804,71,54883
2023-02-15,Instagram_H1_2023,21383,2853.0,33821,1103,786,334,339010
2023-02-16,Instagram_H1_2023,21939,1262.0,31427,2828,559,56,18368
2023-02-17,Instagram_H1_2023,17813,4499.0,37082,969,837,334,272210
2023-02-18,Instagram_H1_2023,24288,538.0,78878,1286,896,206,77044
2023-02-19,Instagram_H1_2023,33411,2323.0,70545,2110,1073,133,42693
2023-02-20,Instagram_H1_2023,21722,4278.0,54413,3195,1088,70,42140
2023-02-21,Instagram_H1_2023,26335,4526.0,63331,2082,1380,619,737229
2023-02-22,Instagram_H1_2023,29982,3733.0,11980,3634,1108,573,621705
2023-02-23,Instagram_H1_2023,48158,2755.0,31563,2877,1084,706,638224
2023-02-24,Instagram_H1_2023,13380,1019.0,40707,2646,486,398,394816
2023-02-25,Instagram_H1_2023,15655,4399.0,63625,3346,1015,607,501382
2023-02-26,Instagram_H1_2023,13224,2753.0,21536,1659,620,727,821510
2023-02-27,Instagram_H1_2023,15109,616.0,64615,983,494,113,114808
2023-02-28,Instagram_H1_2023,46935,4360.0,36589,1743,437,415,329510
2023-03-01,Instagram_H1_2023,36143,1228.0,74288,2443,201,474,327534
2023-03-02,Instagram_H1_2023,42981,4262.0,56167,1976,500,637,756756
2023-03-03,Instagram_H1_2023,48559,1091.0,58787,3120,813,291,338724
2023-03-04,Instagram_H1_2023,16368,3348.0,55004,2349,688,165,159225
2023-03-05,Instagram_H1_2023,25525,589.0,60861,2569,242,155,183830
2023-03-06,Instagram_H1_2023,35003,2395.0,67660,2386,734,58,62234
2023-03-07,Instagram_H1_2023,36015,1052.0,74881,1115,1387,739,856501
2023-03-08,Instagram_H1_2023,13389,1607.0,23629,510,350,432,132192
2023-03-09,Instagram_H1_2023,43226,707.0,76435,3861,1437,71,50339
2023-03-10,Instagram_H1_2023,43662,1014.0,66446,1208,973,63,19593
2023-03-11,Instagram_H1_2023,20326,4095.0,11560,1724,1366,171,76266
2023-03-12,Instagram_H1_2023,30022,1249.0,62579,1084,408,744,436728
2023-03-13,Instagram_H1_2023,34363,4165.0,26082,1061,648,401,245011
2023-03-14,Instagram_H1_2023,12920,1582.0,-5000,2137,854,84,62496
2023-03-15,Instagram_H1_2023,49004,852.0,40027,3309,258,73,51319
2023-03-16,Instagram_H1_2023,22803,3279.0,35963,3853,631,201,173061
2023-03-17,Instagram_H1_2023,25282,1773.0,41860,3313,677,384,275328
2023-03-18,Instagram_H1_2023,21171,2297.0,55350,1154,1494,235,128075
2023-03-19,Instagram_H1_2023,31116,4214.0,58364,929,120,786,916476
2023-03-20,Instagram_H1_2023,29975,,33279,877,1421,575,363975
2023-03-21,Instagram_H1_2023,43142,2840.0,74324,3452,652,367,293967
2023-03-22,Instagram_H1_2023,40523,98008.0,45046,2408,1207,179,186518
2023-03-23,Instagram_H1_2023,45984,3438.0,71272,2440,127,115,53130
2023-03-24,Instagram_H1_2023,23760,4523.0,22588,3366,1426,336,233184
2023-03-25,Instagram_H1_2023,43397,769.0,29816,1680,232,325,349375
2023-03-26,Instagram_H1_2023,23994,2860.0,45946,2356,786,253,117392
2023-03-27,Instagram_H1_2023,36928,4068.0,19847,1979,255,416,423488
2023-03-28,Instagram_H1_2023,28309,1119.0,60108,2339,433,691,559710
2023-03-29,Instagram_H1_2023,35892,1543.0,10281,3244,1124,168,56112
2023-03-30,Instagram_H1_2023,30677,3032.0,38404,1482,936,210,207900
2023-03-31,Instagram_H1_2023,43997,1535.0,51235,3140,341,265,145750
