date,campaign_name,impressions,clicks,ad_spend,website_visits,add_to_cart,purchases,revenue
2025-01-01,Zepto_H1_2025,24659,3178.0,126670,5506,2321,1451,1044720
2025-01-02,Zepto_H1_2025,42683,5520.0,71544,1600,2033,1798,2752738
2025-01-03,Zepto_H1_2025,30305,1749.0,101576,4969,2143,332,370844
2025-01-04,Zepto_H1_2025,50788,3117.0,94067,5416,3089,1660,3540780
2025-01-05,Zepto_H1_2025,24573,8522.0,80565,3299,3375,381,829056
2025-01-06,Zepto_H1_2025,76793,8851.0,111706,7659,1483,1143,1708785
2025-01-07,Zepto_H1_2025,82070,6002.0,48613,2078,2872,1005,1624080
2025-01-08,Zepto_H1_2025,21860,3038.0,77270,5221,2381,497,848876
2025-01-09,Zepto_H1_2025,24646,7006.0,79802,3240,456,1536,2207232
2025-01-10,Zepto_H1_2025,72084,7351.0,105902,4098,3377,311,637239
2025-01-11,Zepto_H1_2025,81929,2704.0,38672,1631,2713,1456,2510144
2025-01-12,Zepto_H1_2025,74280,2257.0,146747,4261,1298,1038,1380540
2025-01-13,Zepto_H1_2025,60019,4476.0,142632,6674,425,882,1669626
2025-01-14,Zepto_H1_2025,60445,6334.0,96587,2459,1215,624,906048
2025-01-15,Zepto_H1_2025,66258,7440.0,40363,6234,553,1706,1629230
2025-01-16,Zepto_H1_2025,20543,5413.0,99282,1877,655,1664,2361216
2025-01-17,Zepto_H1_2025,23737,4180.0,108725,3195,1199,234,469638
2025-01-18,Zepto_H1_2025,47753,5283.0,40234,6751,2856,641,985858
2025-01-19,Zepto_H1_2025,39707,4521.0,37316,6920,1041,1916,1946656
2025-01-20,Zepto_H1_2025,42325,6601.0,81712,7383,918,1783,3476850
2025-01-21,Zepto_H1_2025,21338,6902.0,52218,4925,1095,450,904950
2025-01-22,Zepto_H1_2025,53446,2154.0,129027,7049,1575,1175,2057425
2025-01-23,Zepto_H1_2025,37017,4155.0,46541,2257,3339,1304,1611744
2025-01-24,Zepto_H1_2025,28225,8031.0,96610,3356,2320,655,502385
2025-01-25,Zepto_H1_2025,47476,7011.0,64773,2848,1460,1578,2780436
2025-01-26,Zepto_H1_2025,78121,2557.0,79132,2319,556,1512,1575504
2025-01-27,Zepto_H1_2025,39096,3197.0,36556,3750,2490,1593,3174849
2025-01-28,Zepto_H1_2025,79856,2972.0,124561,4069,1450,1449,1172241
2025-01-29,Zepto_H1_2025,65733,8739.0,107790,5552,2445,1133,1120537
2025-01-30,Zepto_H1_2025,40589,2484.0,90993,7740,3400,1623,1996290
2025-01-31,Zepto_H1_2025,76059,6956.0,38496,4171,1692,1545,2393205
2025-02-01,Zepto_H1_2025,82037,5841.0,119218,6033,753,1198,2410376
2025-02-02,Zepto_H1_2025,55215,6144.0,109210,4770,2937,1462,1125740
2025-02-03,Zepto_H1_2025,63971,2802.0,93420,2824,1156,1741,1272671
2025-02-04,Zepto_H1_2025,33291,6437.0,112946,3350,2976,1346,2346078
2025-02-05,Zepto_H1_2025,63162,8072.0,107554,1373,746,859,1208613
2025-02-06,Zepto_H1_2025,57238,4800.0,128237,7425,1700,644,555128
2025-02-07,Zepto_H1_2025,79494,1672.0,145507,6829,2183,725,1177400
2025-02-08,Zepto_H1_2025,65348,1814.0,47885,2304,2821,479,462235
2025-02-09,Zepto_H1_2025,59324,7784.0,130159,3965,2334,1623,2634129
2025-02-10,Zepto_H1_2025,67837,3775.0,62113,6037,2947,1027,1804439
2025-02-11,Zepto_H1_2025,84419,6115.0,59518,1744,1040,273,407316
2025-02-12,Zepto_H1_2025,49549,5790.0,69977,5259,2520,1400,1621200
2025-02-13,Zepto_H1_2025,21618,5907.0,131599,7537,1137,520,757120
2025-02-14,Zepto_H1_2025,36407,6685.0,133791,2645,1516,332,244684
2025-02-15,Zepto_H1_2025,25175,6802.0,63366,1521,830,1625,1145625
2025-02-16,Zepto_H1_2025,73387,6208.0,58944,3407,2996,678,572910
2025-02-17,Zepto_H1_2025,69591,2730.0,79682,4350,2409,1294,1728784
2025-02-18,Zepto_H1_2025,32852,6027.0,106588,7003,3425,1732,1300732
2025-02-19,Zepto_H1_2025,67760,3615.0,58013,7194,2381,928,1907968
2025-02-20,Zepto_H1_2025,87829,7592.0,37674,7375,3448,730,906660
2025-02-21,Zepto_H1_2025,78508,7631.0,32394,1377,3199,1032,1770912
2025-02-22,Zepto_H1_2025,69827,5514.0,89513,7418,2883,203,430969
